Provinsi,Jumlah_Keluarga,Backlog_Kepemilikan_Persen,Backlog_RTLH_Persen,Total_Backlog_Persen,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September,Produk Domestik Regional Bruto per Kapita Atas Dasar Harga Berlaku (Ribu Rp)
Gorontalo,409770,17.32,37.59,54.91,1256.4,1.22,0.44,104,101.5,495576,519640,162.74,155.76,13.24,12.62,47477 (**)
Jawa Barat,17728093,15.87,38.73,54.6,51163.9,1.02,17.81,1381,102.3,547752,575499,3654.75,3550.71,7.02,6.78,59865 (**)
Kepulauan Bangka Belitung,511928,10.3,41.7,52.0,1569.7,1.32,0.55,94,105.0,956833,992426,77.71,74.65,5.0,4.77,75323 (**)
Aceh,1703264,14.21,36.37,50.58,5695.9,1.34,1.98,100,100.9,676247,715103,704.69,703.33,12.33,12.22,45770 (**)
Sumatera Barat,1824613,21.39,28.89,50.28,5991.6,1.39,2.09,142,101.5,729806,776517,312.35,312.3,5.35,5.31,59549 (**)
Banten,4194512,13.43,36.54,49.97,12641.3,1.05,4.4,1351,103.1,684232,715288,772.78,760.85,5.63,5.51,74673 (**)
Nusa Tenggara Timur,1653772,6.5,43.47,49.97,5828.6,1.58,2.03,126,100.0,549607,563052,1088.78,1031.69,18.6,17.5,25837 (**)
Jawa Timur,14717599,13.15,33.29,46.45,42352.0,0.71,14.75,881,99.3,558029,585020,3875.88,3804.29,9.5,9.3,80856 (**)
Kepulauan Riau,769055,15.85,30.52,46.37,2243.1,1.45,0.78,275,102.9,832410,870738,117.28,114.55,4.44,4.26,172459 (**)
Jawa Tengah,13079752,14.4,31.19,45.58,38565.0,0.95,13.43,1123,100.8,537812,570870,3366.69,3344.82,9.48,9.39,50824 (**)
Papua Selatan,174991,13.79,31.38,45.17,557.2,1.43,0.19,5,107.5,566052,587264,105.53,103.92,19.71,19.26,64928 (**)
Kalimantan Selatan,1469206,12.83,32.01,44.84,4372.1,1.24,1.52,118,102.1,650675,684567,172.72,168.81,3.84,3.73,70577 (**)
Sulawesi Barat,449574,9.25,35.24,44.49,1547.4,1.51,0.54,93,102.6,475488,510846,152.31,149.88,10.41,10.18,46654 (**)
Sulawesi Tengah,1080342,9.8,34.56,44.36,3189.8,1.16,1.11,52,105.0,624854,664691,356.19,345.38,10.92,10.52,131643 (**)
Nusa Tenggara Barat,1927833,8.96,34.91,43.87,5815.3,1.56,2.02,296,101.2,556846,575856,654.57,637.18,11.78,11.38,33667 (**)
Kalimantan Tengah,937609,10.35,33.12,43.47,2879.5,1.32,1.0,19,106.2,654066,683664,147.81,141.75,5.19,4.94,84730 (**)
Kalimantan Timur,1374026,15.85,27.22,43.07,4478.4,3.06,1.56,35,106.5,866193,897759,199.71,202.04,5.17,5.19,208331 (**)
Riau,2148501,14.54,28.53,43.06,6892.4,1.31,2.4,77,104.1,713117,747345,460.96,475.57,6.16,6.3,176385 (**)
Sumatera Utara,4802996,17.5,24.47,41.96,15978.6,1.34,5.56,221,100.8,666546,718220,1140.25,1128.06,7.36,7.24,78310 (**)
DKI Jakarta,3555083,28.77,12.39,41.16,10669.7,0.18,3.72,16129,100.5,852768,897768,464.87,439.12,4.28,4.03,367687 (**)
Bengkulu,685253,9.05,32.02,41.07,2163.3,1.28,0.75,108,104.1,683820,712003,252.97,250.19,12.08,11.88,52305 (**)
Sulawesi Utara,937353,15.51,25.49,40.99,2740.5,0.77,0.95,189,104.0,530304,557310,173.84,172.13,6.71,6.62,75235 (**)
Lampung,2980540,9.75,31.03,40.78,9623.8,1.16,3.35,287,103.9,612451,634062,887.02,860.13,10.0,9.66,55009 (**)
Sulawesi Selatan,3111558,13.82,26.52,40.34,9661.3,1.1,3.36,213,98.8,477966,514958,698.13,685.14,7.6,7.43,78748 (**)
DI Yogyakarta,1313737,15.67,23.6,39.28,3802.7,0.63,1.32,1199,97.7,626363,649331,425.82,422.79,10.23,10.08,55039 (**)
Kalimantan Utara,252730,12.68,26.58,39.26,758.8,1.37,0.26,11,110.0,884970,933675,42.57,42.45,5.54,5.47,208210 (**)
Sulawesi Tenggara,890170,9.83,29.06,38.89,2880.0,1.63,1.0,80,102.5,488171,519411,304.43,295.31,10.54,10.14,72031 (**)
Jambi,1225116,10.54,28.1,38.64,3811.7,1.25,1.33,78,103.0,664127,713849,270.94,261.25,7.19,6.89,92786 (**)
Sumatera Selatan,2866422,12.11,26.45,38.56,9017.1,1.1,3.14,104,103.4,581702,609044,919.6,898.24,10.15,9.85,80663 (**)
Bali,1272649,11.18,26.52,37.7,4488.2,0.68,1.56,804,100.2,607847,642986,173.24,160.09,3.72,3.42,72658 (**)
Kalimantan Barat,1786555,8.43,28.92,37.35,5835.0,1.31,2.03,40,105.1,622882,652220,330.95,322.54,6.16,5.97,56984 (**)
Maluku,608903,10.22,24.7,34.92,1995.2,1.33,0.69,43,102.2,757600,797060,287.76,286.86,15.38,15.25,33652 (**)
Papua Barat,183676,9.86,23.85,33.72,596.5,1.65,0.21,10,110.2,831001,868631,106.9,102.4,20.66,19.58,139213 (**)
Papua Barat Daya,209063,8.91,24.39,33.3,645.5,1.55,0.22,17,108.1,812630,855657,103.57,102.41,17.95,17.5,61624 (**)
