Provinsi,Produk Domestik Regional Bruto per Kapita Atas Dasar Harga Berlaku (Ribu Rp)
Aceh,45770 (**)
Sumatera Utara,78310 (**)
Sumatera Barat,59549 (**)
Riau,176385 (**)
Jambi,92786 (**)
Sumatera Selatan,80663 (**)
Bengkulu,52305 (**)
Lampung,55009 (**)
Kepulauan Bangka Belitung,75323 (**)
Kepulauan Riau,172459 (**)
DKI Jakarta,367687 (**)
Jawa Barat,59865 (**)
Jawa Tengah,50824 (**)
DI Yogyakarta,55039 (**)
Jawa Timur,80856 (**)
Banten,74673 (**)
Bali,72658 (**)
Nusa Tenggara Barat,33667 (**)
Nusa Tenggara Timur,25837 (**)
Kalimantan Barat,56984 (**)
Kalimantan Tengah,84730 (**)
Kalimantan Selatan,70577 (**)
Kalimantan Timur,208331 (**)
Kalimantan Utara,208210 (**)
Sulawesi Utara,75235 (**)
Sulawesi Tengah,131643 (**)
Sulawesi Selatan,78748 (**)
Sulawesi Tenggara,72031 (**)
Gorontalo,47477 (**)
Sulawesi Barat,46654 (**)
Maluku,33652 (**)
Maluku Utara,97262 (**)
Papua Barat,139213 (**)
Papua Barat Daya,61624 (**)
Papua,84305 (**)
Papua Selatan,64928 (**)
Papua Tengah,107566 (**)
Papua Pegunungan,19111 (**)
,
Catatan,
Perbedaan,
antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh,
diskrepansi statistik.,
