Provinsi,Jumlah_Keluarga,Backlog_Kepemilikan_Persen,Backlog_RTLH_Persen,Total_Backlog_Persen
Gorontalo,409770,17.32,37.59,54.91
Jawa Barat,17728093,15.87,38.73,54.6
Kepulauan Bangka Belitung,511928,10.3,41.7,52.0
Aceh,1703264,14.21,36.37,50.58
Sumatera Barat,1824613,21.39,28.89,50.28
Banten,4194512,13.43,36.54,49.97
Nusa Tenggara Timur,1653772,6.5,43.47,49.97
Jawa Timur,14717599,13.15,33.29,46.45
Kepulauan Riau,769055,15.85,30.52,46.37
Jawa Tengah,13079752,14.4,31.19,45.58
Papua Selatan,174991,13.79,31.38,45.17
Kalimantan Selatan,1469206,12.83,32.01,44.84
Sulawesi Barat,449574,9.25,35.24,44.49
Sulawesi Tengah,1080342,9.8,34.56,44.36
Nusa Tenggara Barat,1927833,8.96,34.91,43.87
Kalimantan Tengah,937609,10.35,33.12,43.47
Kalimantan Timur,1374026,15.85,27.22,43.07
Riau,2148501,14.54,28.53,43.06
Sumatera Utara,4802996,17.5,24.47,41.96
DKI Jakarta,3555083,28.77,12.39,41.16
Bengkulu,685253,9.05,32.02,41.07
Sulawesi Utara,937353,15.51,25.49,40.99
Lampung,2980540,9.75,31.03,40.78
Sulawesi Selatan,3111558,13.82,26.52,40.34
DI Yogyakarta,1313737,15.67,23.6,39.28
Kalimantan Utara,252730,12.68,26.58,39.26
Sulawesi Tenggara,890170,9.83,29.06,38.89
Jambi,1225116,10.54,28.1,38.64
Sumatera Selatan,2866422,12.11,26.45,38.56
Bali,1272649,11.18,26.52,37.7
Kalimantan Barat,1786555,8.43,28.92,37.35
Maluku,608903,10.22,24.7,34.92
Papua Barat,183676,9.86,23.85,33.72
Papua Barat Daya,209063,8.91,24.39,33.3
Papua Tengah,428576,4.24,27.64,31.88
Papua,354338,9.0,22.62,31.62
Maluku Utara,430462,7.46,22.23,29.69
Papua Pegunungan,447967,5.6,24.05,29.65
