Province,Year,Population,Households,Density,BacklogOwnershipPercent,BacklogRTLHPercent,TotalBacklogPercent,OwnershipRate,GDPPerCapita,PovertyRate,InterestRate,AccessibilityIndex,MortgageAccessibility,SupplyIndex,DemandIndex,HousingScore
Gorontalo,2024,1256400.0,409770.0,104.0,17.32,37.59,54.91,82.68,47477000.0,12.62,6.25,29.37579855362008,35.95881246550538,0.0,1.481476550898416,28.27758945633468
Jawa Barat,2024,51163900.0,17728093.0,1381.0,15.87,38.73,54.6,84.13,59865000.0,6.78,6.25,36.94788124976404,40.50206208319176,3.3258354755784194,100.0,34.06246539934819
Kepulauan Bangka Belitung,2024,1569700.0,511928.0,94.0,10.3,41.7,52.0,89.7,75323000.0,4.77,6.25,48.69329483412377,47.549310233807596,20.629820051413876,2.0542918869013045,48.17225528298896
Aceh,2024,5695900.0,1703264.0,100.0,14.21,36.37,50.58,85.78999999999999,45770000.0,12.22,6.25,36.76807535413971,40.39417854581716,18.910668380462727,9.37760714355505,38.439377676116905
Sumatera Barat,2024,5991600.0,1824613.0,142.0,21.39,28.89,50.28,78.61,59549000.0,5.31,6.25,34.719661195147935,39.16513005042209,8.338688946015402,10.065861335841475,29.40575016890802
Banten,2024,12641300.0,4194512.0,1351.0,13.43,36.54,49.97,86.57,74673000.0,5.51,6.25,45.84809671100878,45.8421913599386,22.12403598971716,24.943619995848746,44.43961827581855
Nusa Tenggara Timur,2024,5828600.0,1653772.0,126.0,6.5,43.47,49.97,93.5,25837000.0,17.5,6.25,40.907942618766555,42.87809890459327,33.25835475578408,9.407414972355715,49.74782611631262
Jawa Timur,2024,42352000.0,14717599.0,881.0,13.15,33.29,46.45,86.85,80856000.0,9.3,6.25,46.59766146255206,46.29193021086457,33.91709511568121,82.32029992452726,47.416295659298584
Kepulauan Riau,2024,2243100.0,769055.0,275.0,15.85,30.52,46.37,84.15,172459000.0,4.26,6.25,55.115139846993266,51.40241724152929,29.80398457583544,3.6976225710925554,48.82137625335057
Jawa Tengah,2024,38565000.0,13079752.0,1123.0,14.4,31.19,45.58,85.6,50824000.0,9.39,6.25,43.1039188555127,44.195684646640956,34.6401028277635,74.45628741593772,44.72499083406925
Papua Selatan,2024,557200.0,174991.0,5.0,13.79,31.38,45.17,86.21000000000001,64928000.0,19.26,6.25,37.8048635413542,41.01625145814586,36.96979434447306,0.0,42.9327705574976
Kalimantan Selatan,2024,4372100.0,1469206.0,118.0,12.83,32.01,44.84,87.17,70577000.0,3.73,6.25,51.65878252481531,49.328602848222516,39.57262210796919,7.471537542956659,51.44008902440132
Sulawesi Barat,2024,1547400.0,449574.0,93.0,9.25,35.24,44.49,90.75,46654000.0,10.18,6.25,49.29947284204563,47.91301703856071,46.44922879177378,1.857296251826774,54.507444173247976
Sulawesi Tengah,2024,3189800.0,1080342.0,52.0,9.8,34.56,44.36,90.2,131643000.0,10.52,6.25,55.783050721705614,51.803163766356704,45.98329048843182,5.143077687506711,57.33728651672923
Nusa Tenggara Barat,2024,5815300.0,1927833.0,296.0,8.96,34.91,43.87,91.03999999999999,33667000.0,11.38,6.25,48.10530328118681,47.19651530204543,48.90745501285345,10.416980509634685,54.61456641499791
Kalimantan Tengah,2024,2879500.0,937609.0,19.0,10.35,33.12,43.47,89.65,84730000.0,4.94,6.25,56.06489582573262,51.972270828772906,47.95951156812341,4.394722798701988,57.43065969348805
Kalimantan Timur,2024,4478400.0,1374026.0,35.0,15.85,27.22,43.07,84.15,208331000.0,5.19,6.25,60.10071010044887,54.39375939360266,40.408097686375356,7.182910597383403,53.53469540725547
Riau,2024,6892400.0,2148501.0,77.0,14.54,28.53,43.06,85.46000000000001,176385000.0,6.3,6.25,58.108470766077076,53.19841579297958,42.51285347043706,11.741917309005332,53.98776201235509
Sumatera Utara,2024,15978600.0,4802996.0,221.0,17.5,24.47,41.96,82.5,78310000.0,7.24,6.25,46.19634188018434,46.05113846144394,41.29177377892034,28.15364553142204,45.135867671406274
DKI Jakarta,2024,10669700.0,3555083.0,16129.0,28.77,12.39,41.16,71.23,367687000.0,4.03,6.25,60.41808754074795,54.5841858577821,25.787275064267316,43.68740023968109,40.241527200709065
Bengkulu,2024,2163300.0,685253.0,108.0,9.05,32.02,41.07,90.95,52305000.0,11.88,6.25,51.43207478078955,49.192578201807066,57.76028277634963,3.1331806986285864,58.04167361222763
Sulawesi Utara,2024,2740500.0,937353.0,189.0,15.51,25.49,40.99,84.49,75235000.0,6.62,6.25,49.60983438139694,48.099233962171496,47.60604113110544,4.5176202514250345,49.79624029995448
Lampung,2024,9623800.0,2980540.0,287.0,9.75,31.03,40.78,90.25,55009000.0,9.66,6.25,52.744034661417885,49.97975413018406,57.567480719794354,17.023554084635524,58.11460262013152
Sulawesi Selatan,2024,9661300.0,3111558.0,213.0,13.82,26.52,40.34,86.18,78748000.0,7.43,6.25,51.87132453432798,49.45612805393012,52.442159383033385,17.312900305486046,53.31734343646837
DI Yogyakarta,2024,3802700.0,1313737.0,1199.0,15.67,23.6,39.28,84.33,55039000.0,10.08,6.25,46.37144633323474,46.15620113327418,52.908097686375335,8.128174279537484,49.04223731883
Kalimantan Utara,2024,758800.0,252730.0,11.0,12.68,26.58,39.26,87.32,208210000.0,5.47,6.25,66.76867244627526,58.39453680109849,57.74421593830339,0.42094479463598994,63.053849775065565
Sulawesi Tenggara,2024,2880000.0,890170.0,80.0,9.83,29.06,38.89,90.17,72031000.0,10.14,6.25,55.23881609470948,51.47662299015902,63.51221079691525,4.355503090595824,60.53560872730027
