Province,Year,BacklogOwnershipPercent,BacklogRTLHPercent,TotalBacklogPercent
Gorontalo,2024,17.32,37.59,54.91
Jawa Barat,2024,15.87,38.73,54.6
Kepulauan Bangka Belitung,2024,10.3,41.7,52.0
Aceh,2024,14.21,36.37,50.58
Sumatera Barat,2024,21.39,28.89,50.28
Banten,2024,13.43,36.54,49.97
Nusa Tenggara Timur,2024,6.5,43.47,49.97
Jawa Timur,2024,13.15,33.29,46.45
Kepulauan Riau,2024,15.85,30.52,46.37
Jawa Tengah,2024,14.4,31.19,45.58
Papua Selatan,2024,13.79,31.38,45.17
Kalimantan Selatan,2024,12.83,32.01,44.84
Sulawesi Barat,2024,9.25,35.24,44.49
Sulawesi Tengah,2024,9.8,34.56,44.36
Nusa Tenggara Barat,2024,8.96,34.91,43.87
Kalimantan Tengah,2024,10.35,33.12,43.47
Kalimantan Timur,2024,15.85,27.22,43.07
Riau,2024,14.54,28.53,43.06
Sumatera Utara,2024,17.5,24.47,41.96
DKI Jakarta,2024,28.77,12.39,41.16
Bengkulu,2024,9.05,32.02,41.07
Sulawesi Utara,2024,15.51,25.49,40.99
Lampung,2024,9.75,31.03,40.78
Sulawesi Selatan,2024,13.82,26.52,40.34
DI Yogyakarta,2024,15.67,23.6,39.28
Kalimantan Utara,2024,12.68,26.58,39.26
Sulawesi Tenggara,2024,9.83,29.06,38.89
Jambi,2024,10.54,28.1,38.64
Sumatera Selatan,2024,12.11,26.45,38.56
Bali,2024,11.18,26.52,37.7
Kalimantan Barat,2024,8.43,28.92,37.35
Maluku,2024,10.22,24.7,34.92
Papua Barat,2024,9.86,23.85,33.72
Papua Barat Daya,2024,8.91,24.39,33.3
Papua Tengah,2024,4.24,27.64,31.88
Papua,2024,9.0,22.62,31.62
Maluku Utara,2024,7.46,22.23,29.69
Papua Pegunungan,2024,5.6,24.05,29.65
