Year,HousingScore,AffordabilityRatio,OwnershipRate,HousingBacklog,PropertyPriceIndex,Demand,Supply
2015,60.1,4.5,75.0,15000000,100,700000,500000
2016,62.4,4.7,76.5,14500000,104,750000,520000
2017,64.8,4.8,78.2,14000000,109,800000,550000
2018,63.5,5.1,77.5,13800000,112,820000,580000
2019,66.2,5.2,79.0,13500000,116,850000,620000
2020,68.7,5.0,80.5,13000000,118,880000,550000
2021,67.9,5.3,81.0,12800000,120,910000,590000
2022,71.3,5.4,82.5,12000000,126,940000,710000
2023,74.5,5.5,83.8,11000000,131,980000,750000
2024,76.1,5.6,84.5,10500000,135,1020000,810000
2025,72.4,5.8,84.1,9900000,139,1080000,840000
