Province,AverageHousePrice,AnnualHouseholdIncome,CurrentPropertyPrice,PreviousPropertyPrice,HomeOwners,TotalHouseholds,InterestRate,HousingBacklog,UrbanPopulationGrowth,NewHousingSupply,GDPPerCapita,InflationRate,PovertyRate,GiniIndex,UnemploymentRate,Population,StabilityScore
DKI Jakarta,1500000000,250000000,1500000000,1400000000,1500000,3000000,7.2,500000,2.1,12000,20000,3.1,4.5,0.41,6.5,10000000,85
Jawa Barat,450000000,75000000,450000000,430000000,800000,1200000,7.0,800000,3.5,15000,4500,3.5,7.8,0.38,7.2,48000000,75
Jawa Timur,380000000,68000000,380000000,370000000,750000,950000,7.1,400000,2.8,9000,4800,3.2,10.2,0.36,5.8,40000000,80
Jawa Tengah,320000000,55000000,320000000,305000000,650000,800000,7.1,500000,2.5,7000,3800,3.0,11.5,0.35,5.2,36000000,78
DI Yogyakarta,500000000,65000000,500000000,470000000,250000,300000,6.9,80000,1.8,3000,4200,3.4,11.0,0.42,4.5,3800000,88
Bali,650000000,70000000,650000000,610000000,280000,350000,7.3,90000,2.0,2500,5200,3.6,4.8,0.37,4.0,4300000,82
Banten,480000000,85000000,480000000,460000000,350000,450000,7.0,300000,4.2,8500,4900,3.5,5.5,0.39,8.1,12000000,72
Sumatera Utara,350000000,60000000,350000000,335000000,400000,550000,7.4,250000,2.4,4000,4100,3.8,8.2,0.34,6.2,14000000,70
Sulawesi Selatan,380000000,62000000,380000000,360000000,300000,400000,7.5,150000,3.1,3500,3900,3.7,8.5,0.38,6.0,9000000,76
Kalimantan Timur,420000000,80000000,420000000,405000000,180000,250000,7.2,80000,3.8,3000,9000,4.0,5.8,0.33,5.5,3700000,80
Papua,280000000,45000000,280000000,270000000,100000,200000,7.8,120000,1.5,800,2500,4.5,25.0,0.39,7.5,3500000,55
NTT,250000000,40000000,250000000,240000000,150000,250000,7.7,150000,2.0,1200,2200,4.2,20.0,0.36,6.8,5300000,60
Maluku,270000000,42000000,270000000,260000000,80000,120000,7.6,70000,1.8,900,2400,4.0,15.5,0.35,7.0,1800000,65
Sulawesi Barat,260000000,41000000,260000000,250000000,70000,100000,7.5,60000,1.9,850,2300,3.9,11.2,0.34,6.5,1400000,62
Papua Barat,290000000,46000000,290000000,275000000,50000,80000,7.7,40000,1.6,600,3500,4.1,21.0,0.38,6.9,1100000,58
