Province,Year,FLPPUnits,FLPP_Penetration,DataStatus
Gorontalo,2024,3548.6082000000006,8.66,Estimated proxy (5% backlog * households)
Jawa Barat,2024,140672.41795499998,7.935,Estimated proxy (5% backlog * households)
Kepulauan Bangka Belitung,2024,2636.4292000000005,5.150000000000001,Estimated proxy (5% backlog * households)
Aceh,2024,12101.69072,7.105,Estimated proxy (5% backlog * households)
Sumatera Barat,2024,19514.236035,10.695000000000002,Estimated proxy (5% backlog * households)
Banten,2024,28166.148080000003,6.715000000000001,Estimated proxy (5% backlog * households)
Nusa Tenggara Timur,2024,5374.759000000001,3.250000000000001,Estimated proxy (5% backlog * households)
Jawa Timur,2024,96768.213425,6.575000000000001,Estimated proxy (5% backlog * households)
Kepulauan Riau,2024,6094.760875,7.925,Estimated proxy (5% backlog * households)
Jawa Tengah,2024,94174.2144,7.200000000000001,Estimated proxy (5% backlog * households)
Papua Selatan,2024,1206.562945,6.895000000000001,Estimated proxy (5% backlog * households)
Kalimantan Selatan,2024,9424.95649,6.415000000000001,Estimated proxy (5% backlog * households)
Sulawesi Barat,2024,2079.27975,4.625000000000001,Estimated proxy (5% backlog * households)
Sulawesi Tengah,2024,5293.675800000001,4.9,Estimated proxy (5% backlog * households)
Nusa Tenggara Barat,2024,8636.691840000001,4.48,Estimated proxy (5% backlog * households)
Kalimantan Tengah,2024,4852.126575,5.175,Estimated proxy (5% backlog * households)
Kalimantan Timur,2024,10889.15605,7.925000000000002,Estimated proxy (5% backlog * households)
Riau,2024,15619.60227,7.27,Estimated proxy (5% backlog * households)
Sumatera Utara,2024,42026.215,8.749999999999998,Estimated proxy (5% backlog * households)
DKI Jakarta,2024,51139.868955000005,14.385000000000002,Estimated proxy (5% backlog * households)
Bengkulu,2024,3100.7698250000008,4.525000000000001,Estimated proxy (5% backlog * households)
Sulawesi Utara,2024,7269.172515,7.755000000000001,Estimated proxy (5% backlog * households)
Lampung,2024,14530.132500000002,4.875000000000001,Estimated proxy (5% backlog * households)
Sulawesi Selatan,2024,21500.86578,6.91,Estimated proxy (5% backlog * households)
DI Yogyakarta,2024,10293.129395000002,7.835000000000002,Estimated proxy (5% backlog * households)
Kalimantan Utara,2024,1602.3082000000002,6.340000000000001,Estimated proxy (5% backlog * households)
Sulawesi Tenggara,2024,4375.18555,4.915,Estimated proxy (5% backlog * households)
Jambi,2024,6456.36132,5.2700000000000005,Estimated proxy (5% backlog * households)
Sumatera Selatan,2024,17356.18521,6.055,Estimated proxy (5% backlog * households)
Bali,2024,7114.107910000001,5.590000000000001,Estimated proxy (5% backlog * households)
Kalimantan Barat,2024,7530.329325000001,4.215,Estimated proxy (5% backlog * households)
Maluku,2024,3111.4943300000004,5.110000000000001,Estimated proxy (5% backlog * households)
Papua Barat,2024,905.52268,4.93,Estimated proxy (5% backlog * households)
Papua Barat Daya,2024,931.375665,4.455,Estimated proxy (5% backlog * households)
Papua Tengah,2024,908.58112,2.12,Estimated proxy (5% backlog * households)
Papua,2024,1594.521,4.5,Estimated proxy (5% backlog * households)
Maluku Utara,2024,1605.62326,3.73,Estimated proxy (5% backlog * households)
Papua Pegunungan,2024,1254.3076,2.8000000000000003,Estimated proxy (5% backlog * households)
