Province,Year,DemandIndex,SupplyIndex,AccessibilityIndex,MortgageAccessibility,HousingScore
Gorontalo,2024,1.481476550898416,0.0,29.37579855362008,35.95881246550538,28.27758945633468
Jawa Barat,2024,100.0,3.3258354755784194,36.94788124976404,40.50206208319176,34.06246539934819
Kepulauan Bangka Belitung,2024,2.0542918869013045,20.62982005141388,48.69329483412377,47.5493102338076,48.17225528298896
Aceh,2024,9.37760714355505,18.910668380462727,36.76807535413971,40.39417854581716,38.439377676116905
Sumatera Barat,2024,10.065861335841475,8.338688946015402,34.719661195147935,39.16513005042209,29.40575016890802
Banten,2024,24.943619995848746,22.12403598971716,45.84809671100878,45.8421913599386,44.43961827581855
Nusa Tenggara Timur,2024,9.407414972355715,33.25835475578408,40.90794261876656,42.87809890459327,49.74782611631262
Jawa Timur,2024,82.32029992452726,33.91709511568121,46.59766146255206,46.29193021086457,47.41629565929858
Kepulauan Riau,2024,3.697622571092555,29.80398457583544,55.11513984699327,51.40241724152929,48.82137625335057
Jawa Tengah,2024,74.45628741593772,34.6401028277635,43.1039188555127,44.19568464664096,44.72499083406925
Papua Selatan,2024,0.0,36.96979434447306,37.8048635413542,41.01625145814586,42.9327705574976
Kalimantan Selatan,2024,7.471537542956659,39.57262210796919,51.65878252481531,49.32860284822252,51.44008902440132
Sulawesi Barat,2024,1.857296251826774,46.44922879177378,49.29947284204563,47.91301703856071,54.507444173247976
Sulawesi Tengah,2024,5.143077687506711,45.98329048843182,55.783050721705614,51.803163766356704,57.33728651672923
Nusa Tenggara Barat,2024,10.416980509634683,48.90745501285345,48.10530328118681,47.19651530204543,54.61456641499791
Kalimantan Tengah,2024,4.394722798701988,47.95951156812341,56.06489582573262,51.972270828772906,57.43065969348805
Kalimantan Timur,2024,7.182910597383403,40.40809768637536,60.10071010044887,54.39375939360266,53.53469540725547
Riau,2024,11.741917309005332,42.51285347043706,58.10847076607708,53.19841579297958,53.98776201235509
Sumatera Utara,2024,28.15364553142204,41.29177377892034,46.19634188018434,46.05113846144394,45.135867671406274
DKI Jakarta,2024,43.68740023968109,25.78727506426732,60.41808754074795,54.5841858577821,40.241527200709065
Bengkulu,2024,3.1331806986285864,57.76028277634963,51.43207478078955,49.192578201807066,58.04167361222763
Sulawesi Utara,2024,4.5176202514250345,47.60604113110544,49.60983438139694,48.099233962171496,49.79624029995448
Lampung,2024,17.023554084635524,57.567480719794354,52.744034661417885,49.97975413018406,58.11460262013152
Sulawesi Selatan,2024,17.312900305486046,52.442159383033385,51.87132453432798,49.45612805393012,53.31734343646837
DI Yogyakarta,2024,8.128174279537484,52.908097686375335,46.37144633323474,46.15620113327418,49.04223731883
Kalimantan Utara,2024,0.4209447946359899,57.74421593830339,66.76867244627526,58.39453680109849,63.053849775065565
Sulawesi Tenggara,2024,4.355503090595824,63.51221079691525,55.23881609470948,51.47662299015902,60.53560872730027
Jambi,2024,6.187931645198649,63.17480719794352,58.85181926976933,53.64442489519493,61.768006658129394
Sumatera Selatan,2024,15.840562664382066,60.909383033419005,53.67740452805835,50.53977605016834,57.3441609332812
Bali,2024,8.0770662890828,65.16709511568124,59.74721321318511,54.1816612612444,62.11025906371664
Kalimantan Barat,2024,9.653381327434902,70.71015424164521,60.07930801756683,54.38091814387343,65.63371265355565
Maluku,2024,2.658949166750019,75.64267352185091,50.67585240399088,48.73884477572786,60.27098216697432
Papua Barat,2024,0.06983067309648,80.10925449871465,57.82436680017069,53.02795341343575,65.17504398941233
Papua Barat Daya,2024,0.1986628838964488,82.95308483290488,54.239252755920674,50.87688498688574,64.65411251434922
Papua Tengah,2024,1.6600965354134922,95.0192802056556,55.84719311613094,51.8416492030119,71.71106312818588
Papua,2024,1.0243735004214878,88.20694087403595,57.16550725230852,52.632637684718446,67.15315652543417
Maluku Utara,2024,1.5789862897779088,96.8830334190232,71.08900980748595,60.986739217824905,77.38420174428981
Papua Pegunungan,2024,1.7116407417094908,100.0,50.05782158282981,48.36802628303122,68.58788757909814
