Province,Year,Population,Households,OwnershipRate
Gorontalo,2024,1256400.0,409770.0,82.68
Jawa Barat,2024,51163900.0,17728093.0,84.13
Kepulauan Bangka Belitung,2024,1569700.0,511928.0,89.7
Aceh,2024,5695900.0,1703264.0,85.78999999999999
Sumatera Barat,2024,5991600.0,1824613.0,78.61
Banten,2024,12641300.0,4194512.0,86.57
Nusa Tenggara Timur,2024,5828600.0,1653772.0,93.5
Jawa Timur,2024,42352000.0,14717599.0,86.85
Kepulauan Riau,2024,2243100.0,769055.0,84.15
Jawa Tengah,2024,38565000.0,13079752.0,85.6
Papua Selatan,2024,557200.0,174991.0,86.21000000000001
Kalimantan Selatan,2024,4372100.0,1469206.0,87.17
Sulawesi Barat,2024,1547400.0,449574.0,90.75
Sulawesi Tengah,2024,3189800.0,1080342.0,90.2
Nusa Tenggara Barat,2024,5815300.0,1927833.0,91.04
Kalimantan Tengah,2024,2879500.0,937609.0,89.65
Kalimantan Timur,2024,4478400.0,1374026.0,84.15
Riau,2024,6892400.0,2148501.0,85.46000000000001
Sumatera Utara,2024,15978600.0,4802996.0,82.5
DKI Jakarta,2024,10669700.0,3555083.0,71.23
Bengkulu,2024,2163300.0,685253.0,90.95
Sulawesi Utara,2024,2740500.0,937353.0,84.49
Lampung,2024,9623800.0,2980540.0,90.25
Sulawesi Selatan,2024,9661300.0,3111558.0,86.18
DI Yogyakarta,2024,3802700.0,1313737.0,84.33
Kalimantan Utara,2024,758800.0,252730.0,87.32
Sulawesi Tenggara,2024,2880000.0,890170.0,90.17
Jambi,2024,3811700.0,1225116.0,89.46000000000001
Sumatera Selatan,2024,9017100.0,2866422.0,87.89
Bali,2024,4488200.0,1272649.0,88.82
Kalimantan Barat,2024,5835000.0,1786555.0,91.57
Maluku,2024,1995200.0,608903.0,89.78
Papua Barat,2024,596500.0,183676.0,90.14
Papua Barat Daya,2024,645500.0,209063.0,91.09
Papua Tengah,2024,1510800.0,428576.0,95.76
Papua,2024,1086500.0,354338.0,91.0
Maluku Utara,2024,1391700.0,430462.0,92.54
Papua Pegunungan,2024,1501900.0,447967.0,94.4
